timestamp,machine_id,temperature,vibration,pressure,rpm,current,operating_hours,failure,failure_cause,shift,month,week,day_of_week,hour_of_day
2024-01-01 00:00:00,Machine_A,71.66,2.596,101.4,1550.5,14.42,0,0,None,Night,January,1,Monday,0
2024-01-01 01:00:00,Machine_A,73.42,2.329,95.38,1369.4,15.95,1,0,None,Night,January,1,Monday,1
2024-01-01 02:00:00,Machine_A,77.45,2.043,97.86,1462.9,14.3,2,0,None,Night,January,1,Monday,2
2024-01-01 03:00:00,Machine_A,68.58,2.311,102.99,1628.0,15.39,3,0,None,Night,January,1,Monday,3
2024-01-01 04:00:00,Machine_A,75.37,2.345,97.0,1547.4,15.29,4,0,None,Night,January,1,Monday,4
2024-01-01 05:00:00,Machine_A,73.09,2.194,99.19,1473.3,14.99,5,0,None,Night,January,1,Monday,5
2024-01-01 06:00:00,Machine_A,74.31,2.617,93.67,1554.6,17.78,6,0,None,Morning,January,1,Monday,6
2024-01-01 07:00:00,Machine_A,78.58,2.566,104.41,1449.5,13.42,7,0,None,Morning,January,1,Monday,7
2024-01-01 08:00:00,Machine_A,77.32,2.339,93.27,1456.0,13.87,8,0,None,Morning,January,1,Monday,8
2024-01-01 09:00:00,Machine_A,75.4,2.675,104.44,1544.7,15.75,9,0,None,Morning,January,1,Monday,9
2024-01-01 10:00:00,Machine_A,74.38,2.313,92.46,1555.0,14.82,10,0,None,Morning,January,1,Monday,10
2024-01-01 11:00:00,Machine_A,73.77,2.854,95.51,1541.7,15.3,11,0,None,Morning,January,1,Monday,11
2024-01-01 12:00:00,Machine_A,71.89,2.477,104.86,1539.8,16.5,12,0,None,Morning,January,1,Monday,12
2024-01-01 13:00:00,Machine_A,76.01,3.512,95.4,1480.1,14.94,13,0,None,Morning,January,1,Monday,13
2024-01-01 14:00:00,Machine_A,70.74,2.813,104.52,1501.0,14.47,14,0,None,Afternoon,January,1,Monday,14
2024-01-01 15:00:00,Machine_A,70.51,2.263,103.72,1489.4,14.57,15,0,None,Afternoon,January,1,Monday,15
2024-01-01 16:00:00,Machine_A,76.5,2.847,101.29,1515.7,16.37,16,0,None,Afternoon,January,1,Monday,16
2024-01-01 17:00:00,Machine_A,75.53,2.407,103.37,1487.2,14.63,17,0,None,Afternoon,January,1,Monday,17
2024-01-01 18:00:00,Machine_A,78.82,2.412,86.72,1517.3,14.6,18,0,None,Afternoon,January,1,Monday,18
2024-01-01 19:00:00,Machine_A,74.13,2.636,99.17,1510.7,12.98,19,0,None,Afternoon,January,1,Monday,19
2024-01-01 20:00:00,Machine_A,72.17,2.921,99.91,1416.3,13.93,20,0,None,Afternoon,January,1,Monday,20
2024-01-01 21:00:00,Machine_A,72.02,2.531,97.84,1467.0,15.0,21,0,None,Afternoon,January,1,Monday,21
2024-01-01 22:00:00,Machine_A,76.43,2.422,97.13,1478.9,15.34,22,0,None,Night,January,1,Monday,22
2024-01-01 23:00:00,Machine_A,74.98,2.73,94.25,1461.2,15.77,23,0,None,Night,January,1,Monday,23
2024-01-02 00:00:00,Machine_A,79.21,2.079,102.93,1609.5,14.01,24,0,None,Night,January,1,Tuesday,0
2024-01-02 01:00:00,Machine_A,73.3,2.53,97.48,1422.5,15.07,25,0,None,Night,January,1,Tuesday,1
2024-01-02 02:00:00,Machine_A,71.81,2.642,95.4,1577.5,14.22,26,0,None,Night,January,1,Tuesday,2
2024-01-02 03:00:00,Machine_A,74.03,2.744,93.85,1511.4,16.31,27,0,None,Night,January,1,Tuesday,3
2024-01-02 04:00:00,Machine_A,70.18,2.555,101.3,1539.1,13.76,28,0,None,Night,January,1,Tuesday,4
2024-01-02 05:00:00,Machine_A,71.04,2.657,101.48,1512.5,15.35,29,0,None,Night,January,1,Tuesday,5
2024-01-02 06:00:00,Machine_A,72.96,2.57,101.47,1464.3,16.87,30,0,None,Morning,January,1,Tuesday,6
2024-01-02 07:00:00,Machine_A,76.42,2.143,103.28,1451.3,15.79,31,0,None,Morning,January,1,Tuesday,7
2024-01-02 08:00:00,Machine_A,78.48,2.254,104.82,1520.6,15.82,32,0,None,Morning,January,1,Tuesday,8
