date,machine_id,avg_oee,avg_health_score,total_failures,downtime_hours,avg_temperature,avg_vibration,avg_rpm,avg_failure_prob,total_readings,uptime_hours,mtbf,availability
2024-01-01,Machine_A,0.9523583333333333,96.695,0,0,74.29416666666667,2.5480416666666668,1499.8999999999999,0.0,24,24,24.0,1.0
2024-01-01,Machine_B,0.9508041666666666,97.30708333333332,0,0,75.79708333333333,2.4622083333333333,1492.7749999999999,0.0,24,24,24.0,1.0
2024-01-01,Machine_C,0.9492375000000001,96.14875,0,0,74.41250000000001,2.5955,1494.0416666666667,0.0,24,24,24.0,1.0
2024-01-01,Machine_D,0.9418916666666667,95.82208333333334,0,0,76.23583333333333,2.5522916666666666,1486.0958333333335,0.0,24,24,24.0,1.0
2024-01-02,Machine_A,0.9548166666666668,97.17041666666667,0,0,75.26625,2.4410000000000003,1513.8625,0.0,24,24,24.0,1.0
2024-01-02,Machine_B,0.945525,96.41708333333334,0,0,75.45541666666666,2.5713333333333335,1491.9291666666668,0.0,24,24,24.0,1.0
2024-01-02,Machine_C,0.9527041666666666,96.7,0,0,75.02833333333334,2.498791666666667,1495.8500000000001,0.0,24,24,24.0,1.0
2024-01-02,Machine_D,0.9502916666666666,97.02666666666666,0,0,74.59416666666667,2.439458333333333,1498.7625,0.0,24,24,24.0,1.0
2024-01-03,Machine_A,0.7179833333333333,61.11541666666667,4,4,95.19375000000001,5.8364166666666675,1382.7333333333333,18.045833333333334,24,20,4.0,0.8333
2024-01-03,Machine_B,0.9563916666666666,96.68833333333333,0,0,74.9275,2.5025,1503.8625,0.0,24,24,24.0,1.0
2024-01-03,Machine_C,0.9508333333333333,97.24666666666667,0,0,75.00916666666667,2.5154583333333336,1506.3291666666667,0.0,24,24,24.0,1.0
2024-01-03,Machine_D,0.9546083333333333,96.73125,0,0,74.60833333333333,2.5629166666666667,1493.7416666666668,0.0,24,24,24.0,1.0
2024-01-04,Machine_A,0.9475333333333333,97.2275,0,0,74.2625,2.4712916666666667,1482.7666666666667,0.0,24,24,24.0,1.0
2024-01-04,Machine_B,0.9591166666666666,97.15416666666665,0,0,74.88208333333334,2.478,1504.825,0.0,24,24,24.0,1.0
2024-01-04,Machine_C,0.9447458333333333,96.71875,0,0,74.82875,2.5297916666666667,1485.5416666666667,0.0,24,24,24.0,1.0
2024-01-04,Machine_D,0.7075208333333333,62.89333333333334,4,4,95.02541666666667,5.654041666666667,1368.4083333333335,15.8275,24,20,4.0,0.8333
2024-01-05,Machine_A,0.9549583333333334,96.93916666666667,0,0,74.76416666666667,2.510083333333333,1505.1625000000001,0.0,24,24,24.0,1.0
2024-01-05,Machine_B,0.9559416666666666,97.27499999999999,0,0,74.50291666666666,2.464541666666667,1506.6791666666668,0.0,24,24,24.0,1.0
2024-01-05,Machine_C,0.9585583333333334,96.51958333333333,0,0,74.98791666666666,2.557375,1506.1541666666665,0.0,24,24,24.0,1.0
2024-01-05,Machine_D,0.9557541666666666,96.98875,0,0,74.5425,2.549958333333333,1498.9416666666666,0.0,24,24,24.0,1.0
2024-01-06,Machine_A,0.9528583333333334,96.8675,0,0,75.18541666666667,2.52575,1510.8208333333332,0.0,24,24,24.0,1.0
2024-01-06,Machine_B,0.94525,96.14375,0,0,75.32291666666667,2.564625,1475.2291666666667,0.0,24,24,24.0,1.0
2024-01-06,Machine_C,0.9579791666666666,97.58791666666667,0,0,74.64125,2.417666666666667,1499.1375,0.0,24,24,24.0,1.0
2024-01-06,Machine_D,0.9554291666666667,97.04583333333333,0,0,75.21791666666667,2.4722916666666666,1515.0333333333335,0.0,24,24,24.0,1.0
2024-01-07,Machine_A,0.9539291666666667,96.45333333333333,0,0,74.15124999999999,2.6053333333333333,1503.3625,0.0,24,24,24.0,1.0
2024-01-07,Machine_B,0.9564416666666666,96.74374999999999,0,0,74.80166666666666,2.5660416666666666,1492.7749999999999,0.0,24,24,24.0,1.0
2024-01-07,Machine_C,0.9529333333333333,96.36916666666667,0,0,75.36958333333332,2.5715416666666666,1519.8500000000001,0.0,24,24,24.0,1.0
2024-01-07,Machine_D,0.9625166666666667,96.8675,0,0,75.31666666666666,2.5513333333333335,1511.7291666666667,0.0,24,24,24.0,1.0
2024-01-08,Machine_A,0.9609375,96.33125,0,0,75.68666666666667,2.5029166666666667,1502.6791666666668,0.0,24,24,24.0,1.0
2024-01-08,Machine_B,0.9574333333333334,96.49541666666666,0,0,74.65666666666667,2.474791666666667,1520.4083333333335,0.0,24,24,24.0,1.0
2024-01-08,Machine_C,0.9586749999999999,96.49416666666667,0,0,74.89874999999999,2.5708333333333333,1504.6000000000001,0.0,24,24,24.0,1.0
2024-01-08,Machine_D,0.9580041666666667,96.95875000000001,0,0,75.85583333333334,2.45575,1517.8,0.0,24,24,24.0,1.0
